,season_column,tm,fg,fga,fg_percent,x3p,x3pa,x3p_percent,x2p,x2pa,x2p_percent,e_fg_percent,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,teamChemistry,playoffs
0,1950,AND,1684.9,5489.7,4.21055,0.0,0.0,0.0,1647.8,5347.4,4.0501000000000005,3.9283,1511.9,2102.05,0.0,0.0,0.0,1040.1,0.0,0.0,0.0,1610.1,5129.1,272.0,True
1,1950,BLB,1529.3,4502.4,5.2818,0.0,0.0,0.0,1563.8,5026.0,5.1692,4.9592,1337.9,1921.8,0.0,0.0,0.0,1019.2,0.0,0.0,0.0,1642.9,4475.9,526.0,False
2,1950,BOS,1644.5,4651.6,5.315,0.0,0.0,0.0,1675.8,5020.0,5.1653,4.9032,1348.0,1940.8,0.0,0.0,0.0,1225.2,0.0,0.0,0.0,1507.6,4841.6,292.0,False
3,1950,CHS,1371.9,4026.0,3.4806,0.0,0.0,0.0,1347.8000000000002,4166.9,3.2212,2.8763,939.1,1465.15,0.0,0.0,0.0,963.5,0.0,0.0,0.0,1579.0,4208.4,206.0,True
4,1950,DNN,1566.7,4424.8,4.6969,0.0,0.0,0.0,1588.8,4733.6,4.5926,4.3986,1178.8,1814.0,0.0,0.0,0.0,931.8,0.0,0.0,0.0,1579.3,4407.8,210.0,False
5,1950,FTW,1720.5,5173.4,4.66725,0.0,0.0,0.0,1711.0,5387.1,4.47965,4.1967,1474.2,2136.5,0.0,0.0,0.0,1157.4,0.0,0.0,0.0,1891.05,4999.15,332.0,True
6,1950,INO,1541.1,3904.3,3.7348999999999997,0.0,0.0,0.0,1574.8,4268.8,3.5575,3.3898,1168.8,1750.4,0.0,0.0,0.0,972.9,0.0,0.0,0.0,1418.45,4554.0,240.0,True
7,1950,MNL,1555.5,3859.6,4.94775,0.0,0.0,0.0,1596.0,4409.6,4.77475,4.6162,1051.6,1541.4,0.0,0.0,0.0,1028.2,0.0,0.0,0.0,1425.6,4538.05,314.0,True
8,1950,NYK,1656.3,4501.0,4.0841,0.0,0.0,0.0,1642.4,4676.3,4.0003,3.9171,1507.8,2145.8,0.0,0.0,0.0,1112.6,0.0,0.0,0.0,1550.35,4954.4,340.0,True
9,1950,PHW,1302.2,4051.4,4.2722,0.0,0.0,0.0,1220.6,4132.0,3.9748,3.7237,1015.3,1519.1,0.0,0.0,0.0,793.7,0.0,0.0,0.0,1388.2,3940.25,334.0,True
10,1950,ROC,1442.0,3723.7,3.80375,0.0,0.0,0.0,1335.8,3776.0,3.52605,3.3028999999999997,1295.7,1809.75,0.0,0.0,0.0,961.9000000000001,0.0,0.0,0.0,1225.05,4452.95,320.0,True
11,1950,SHE,1523.0,4072.6,5.1732,0.0,0.0,0.0,1559.8,4538.0,5.0643,4.8628,1392.3,2066.0,0.0,0.0,0.0,1051.6,0.0,0.0,0.0,1604.1,4534.099999999999,276.0,True
12,1950,STB,1386.6,3766.6,4.172000000000001,0.0,0.0,0.0,1428.2,4313.4,4.0225,3.7925,1209.9,1831.7,0.0,0.0,0.0,950.1,0.0,0.0,0.0,1426.4,4149.9,188.0,False
13,1950,SYR,1541.7,4291.0,3.3776,0.0,0.0,0.0,1507.2,4362.4,3.1947,2.9993,1352.3,1956.3,0.0,0.0,0.0,1194.6,0.0,0.0,0.0,1506.55,4664.45,242.0,True
15,1950,TRI,1464.9,4341.8,6.5873,0.0,0.0,0.0,1475.4,4564.3,6.2941,5.8774999999999995,1420.9,2101.0,0.0,0.0,0.0,1087.2,0.0,0.0,0.0,1820.35,4630.0,540.0,True
16,1950,WAT,1473.6,3952.5,6.4087,0.0,0.0,0.0,1495.2,4274.5,6.2418000000000005,5.9866,1208.8,1762.4,0.0,0.0,0.0,1073.8,0.0,0.0,0.0,1632.85,4321.0,430.0,False
17,1950,WSC,1491.7,4392.4,4.0548,0.0,0.0,0.0,1447.8,4493.6,3.8924000000000003,3.6691,1307.2,1802.65,0.0,0.0,0.0,856.4,0.0,0.0,0.0,1633.1,4466.4,236.0,True
18,1951,BLB,1356.2,3777.7,5.50685,0.0,0.0,0.0,1349.0,4023.2,5.2116,4.8422,1025.6,1506.05,0.0,0.0,2149.45,852.2,0.0,0.0,0.0,1433.3500000000001,4249.4,404.0,False
19,1951,BOS,1633.6,4099.3,4.87575,0.0,0.0,0.0,1608.2,4576.8,4.5513,4.1261,1431.3,2021.8000000000002,0.0,0.0,2655.35,1155.1000000000001,0.0,0.0,0.0,1592.0,4801.8,412.0,True
20,1951,FTW,1630.8,4407.0,4.21905,0.0,0.0,0.0,1624.0,4902.3,3.99945,3.7328,1412.3,2043.45,0.0,0.0,2614.25,846.7,0.0,0.0,0.0,1657.1,4816.7,334.0,True
21,1951,INO,1431.3,3808.3,3.9991499999999998,0.0,0.0,0.0,1455.0,4039.8,3.76765,3.4935,976.5,1458.7,0.0,0.0,1905.95,868.0,0.0,0.0,0.0,1188.6000000000001,4364.3,332.0,True
22,1951,MNL,1508.5,3649.7,3.1279,0.0,0.0,0.0,1525.0,4201.1,2.9583,2.7948,1101.0,1601.8,0.0,0.0,2459.4500000000003,990.7,0.0,0.0,0.0,1505.65,4404.65,250.0,True
23,1951,NYK,1419.3,3753.0,3.7675,0.0,0.0,0.0,1376.2,3731.3,3.5857,3.4229,1147.7,1674.65,0.0,0.0,2413.05,1082.0,0.0,0.0,0.0,1456.2,4545.65,404.0,True
